Title,Current Ch,Max Ch,Link,Cover URL,Status,Class
It Starts with a Kingpin Account,240,5,,,ACTIVE,CONSTELLATION
Infinite Mage,116,,,,ACTIVE,CONSTELLATION
I’m an Ex-Class Hunter,33,,,,ACTIVE,PLAYER
Demonic Evolution,100,15,,,ACTIVE,PLAYER
I Picked a Hammer to Save the World,102,102,https://demonicscans.org/manga/I-Picked-A-Hammer-To-Save-The-World,https://readermc.org/images/thumbnails/I%20Picked%20A%20Hammer%20To%20Save%20The%20World.webp,ACTIVE,PLAYER
I Obtained a Mythic Item,124,167,https://demonicscans.org/manga/I-Obtained-a-Mythic-Item,https://gg.asuracomic.net/storage/media/381642/conversions/01KA4MYN5T5DSTJP8DZAFWWS8C-optimized.webp,ACTIVE,PLAYER
I Became the Tyrant of a Defence Game,97,,,,ACTIVE,PLAYER
Global Mayhem: Awakening SSS-Class Talent at the Start!,46,,,,ACTIVE,CONSTELLATION
Gods Gambit,20,44,https://asuracomic.net/series/gods-gambit-8129063d,https://gg.asuracomic.net/storage/media/193/conversions/1d342974-optimized.webp,ACTIVE,PLAYER
Dragon Master,256,,,,ACTIVE,PLAYER
